DATA,LABEL
halah catat woi pliss suruh stop mbg anak orang racun amp duit trilyunan lari sppg tulung bambang pacul,negative
suruh makan mbg,neutral
overdosis mbg jir,negative
ngahakan mbg si koplok mah,negative
fokus kualitas mbg lesat bareng prabowo,positive
usul gubernur menu mbg anak sma tambah batang rokok,negative
gara liat bandung darurat sampah penasaran food waste mbg kaya gimana ya,neutral
uploa tweet makan mbg anak kuliah kerja upload makan mbg d,neutral
walkot magelang kaji pindah depo sampah dapur mbg,positive
maaf komplain dpt mbg sayur capcai g salah dpt wortel iris brokoli ya alhamdulillah karna kasih mbg hemat,neutral
wakil kepala badan gizi nasional bgn nanik s deyang anggar program makan gizi gratis mbg rp porsi masuk telur ayam menu presiden prabowo subianto hitung langsung,neutral
jabat tolol wooy gubernur menu mbg tambahin rokok bungkus biar tolol muridmurid tolol,negative
breaking siswa smpn laguboti duga racun mbg lari rs,negative
budget mbg,neutral
ompreng mbg,neutral
ceria anakanak pandeglang santap makan gizi gratis mbg tata kelola baik susul insiden racun,negative
langsung cicip menu mbg guru makassar kes masyaallah bagus,positive
mbg hadir impor dukung tani lokal piring bagi keringat tani balik sman cimarga pbnu patriot didik kepsek,positive
perintah papua usaha mbg gizi nutrisi imbang anak,positive
dapur barak makan laku serius kait langsung daya tahan hidup mbg sistem pangan nasional ukur,positive
jalar program mbg bikin puluh anak smp laguboti duga racun makan,negative
kerja tim mutu mbg solid kayak prabowo,positive
presiden prabowo program mbg cepat target jangkau juta terima manfaat indonesia,positive
bgn tutup mata korupsi pasti rupiah mbg transparan awas ketat program bagus bersih panas inka rokok muhammadiyah,positive
go mbg support sampe,positive
alhamdulillah keluarga gue muhammadiyah ajar agama bener bener logis tafsir nya gak ribet gak atur yg kayak dijelasin al quran plus kalo udah puasa takjil buka sahur buset sehat sempurna mbg kalah jauuuh,negative
daging mbg untung aja anak ngga makan parahhhh,negative
kepsek ngasih ajar siswa nonaktif mbg ngasih racun siswa modar kagak nonaktif tuh mbg,negative
upgrade mbg bareng seru prabowo,positive
tv berita bunuh mbg amp kabinet laknat,negative
salut mbg beneran inovasi tunggu,positive
tingkat mutu mbg biar solid bareng prabowo,positive
ajg perut langsung sakit abis makan ayam mbg amis bangsattttt fuckkkkkk,negative
sukses program mbg indonesia tni ad kirim personel ajar manajemen makan militer singapura,positive
ribu anak racun mbg krn salah urus santri tutup usia santri difabel sisa usia krn dosa konstruksi amp lalai manusia tradisi unik pondok agama yg sorot media tayang amp mantik gempa,negative
tragedi racun akibat makan gizi gratis mbg jawa barat ulang kali ratus siswa smpn cisarua kabupaten bandung barat korban racun selasa oktober,negative
program keren nih sukses trs mbg,positive
bupati barut dukung tingkat kualitas sdm turun stunting mbg,positive
prabowo rakyat stop mbg,negative
mbg rusak standar gizi anak mbg usaha baik gizi anak,negative
mantap mbg bikin hidup asik,positive
dukung abis mbg solusi baik,positive
dapur higienis makan gizi chef profesional mbg lykn last track of dampd pledis protect junhui,positive
go mbg support sampe,positive
panganane kucinge presiden ae jelase larang teko mbg,negative
full support mbg oke,positive
iyaaaa bnyk yg gk amanah tau sih klo didik jg psti ad yg gk amanah better than mbg please,negative
program mbg jalan evaluasi baik lanjut,positive
sukses ya mbg langkah,positive
mbg pasti bikin hidup,positive
program mbg bawa ubah positif dukung,positive
badan gizi nasional bgn aku serap anggar program makan gizi gratis mbg rp triliun kembali presiden prabowo subianto gtgt,negative
ibuibu berani turun jalan badan gizi nasional tuntut utama stop program mbg nilai rusak standar gizi anak libat publik awal bijak,negative
perintah sedia lapang kerja serap tenaga prestasi sekolah gratis mbg,positive
jadi mbg role model mutu keren bareng prabowo,positive
alhamdulillah dapet mbg kali,positive
korban racun mbg sppg bandung barat sertifikasi higienis,negative
semangat program mbg emang keren banget,positive
jadi ajar kuat standar dapur distribusi mbg anakanak indonesia gizi layak aman,positive
tolol bisa nyinyir ngasih solusi terik sto mbg otak caci maki mbg,negative
libat masyarakat laksana mbg bersih efisien pihak rakyat,positive
semangat mbg cerah,positive
kawal mbg jalan transparan aman sasar program jaga jatuh,positive
racun mbg mingkam pura buta tuli,negative
tolol sih komparasi yakali cost mbg compare mekdi budget mbg nya gak ngotak ga ngotak komparenya,negative
siswa racun santap mbg toba duga akibat buah semangka,negative
pola kayak yg gak tuju program mbg langsung cap sebgai pecah belah bangsa provokator,negative
dukung penuh mbg hebat banget sih,positive
korban mbg korban sa cuman angka tunggu aja karma anak cucu lu jd korban anjg,negative
mbg nih brp sih gaji mikir program jalan kagak kalo kagak ya gk pindah dr kerja yg skrng gue udh spaneng duluan liat dapur mbg yg gk cuci makan,negative
mbg bisnis politis,negative
mbg makan gallagher,negative
alhamdulillah rasa manfaat mbg,positive
minum susu mbg racun saaad,negative
lets go mbg gebrak inovasi trus,positive
mbg terimakasih prabowo racun sangkutin prabowo,negative
masyarakat gak mulukmuluk harap program mbg ditingkatin menu kualitas,positive
program makan gizi gratis mbg makan enak yach mbg,positive
bijak pihak rakyat hasil nyata anakanak tumbuh sehat sekolah fokus ternak lokal sejahtera langkah presiden prabowo atur khusus bentuk komitmen lanjut,positive
the only mbg i love is makan gizi gweh,positive
prabowo perintah dapur mbg siap jenis lauk,positive
program mbg sdn pulogebang sukses banget anakanak sehat berat badan keren nabung uang jajan udah dapet makan gizi sekolah salut bu catharina yenny amp tim udah bikin ubah nyata,positive
sppg bangun dapur masingmasing layan siswa hari lengkap fasilitas dukung alat masak makan alat transportasi distribusi makan,positive
langkah nyata tingkat kualitas mbg bgn hadir ribu chef profesional damping dapur rakyat lykn last track of dampd pledis protect junhui pm oct view post engagements,positive
kepala badan gizi nasional bgn dad hindayana juta terima manfaat tengah agustus bidik kepala negara ri cepat target agustus lanjut mbg baik,positive
program bikin anak sehat orang tua tenang guru bangga ekonomi lokal jalan bareng mbg tuh nggak program gera benerbener ngubah pola pikir gaya hidup gizi prestasi makan bareng bareng,positive
kelompok rawan dukung presiden prabowo subianto wakil presiden gibran rakabuming raka rencana bentuk tim siber lawan disinformasi kait program makan gizi gratis mbg media sosial ricky tamba organisasi jaring langkah,positive
tkd kertas teknis mbg bikin konsep relevan masyarakat,positive
makan gratis mbg tuh studi manfaat tkd produktif banget,positive
mbg buktiin tkd instrumen sosial ekonomi duaduanya jalan bareng,positive
skeptis tkd dampak langsung mbg beneran ngubah pola pikir,positive
tkd efisien hemat manfaat mbg udah nunjukin definisi,positive
keren mbg makan bikin tkd arah,positive
tkd alat distribusi adil ekonomi mbg udah bukti level lapang,positive
masyarakat papua rasa manfaat program mbg koperasi merah putih dapat dampak,positive
program mbg makan gratis peduli kerja cinta tanah air guru orang tua perintah satu anakanak tumbuh kuat cerdas,positive
arah presiden prabowo perintah atur khusus program mbg jalan optimal indonesia langkah nyata cipta generasi unggul mandiri,positive
salut guru kepala sekolah orangorang mbg tuh real mvp bikin ubah nyata drama bayangin pastiin anakanak dapet makan gizi layak nggak gampang hasil nyataaaaa,positive
upaya aman layak program makan gizi gratis mbg siswa terima manfaat polresta bandara soekarnohatta ketat standar operasional prosedur sop kelola dapur sentra pangan polri gratis sppg rawa burung,positive
